string,qtd
dados educacao,65
dados educacao basica,5
dados educacionais,29
analise educacao,52
analise educacao basica,4
analise educacional,11
censo educacao superior,6
dados educacao superior,6
analise educacao superior,9
censo profissionais magistério,0
dados profissionais magistério,0
analise profissionais magistério,0
censo escolar,21
dados escola inep,9
dados enade,17
analise enade,41
dados encceja,2
analise encceja,2
dados enem,60
analise enem,51
enem por escola,8
dados prova brasil,3
analise prova brasil,0
dados ideb,7
indicadores educacionais,4
dados ies,20
analise ies,2
dados inep,44
analise inep,31
microdados inep,21
dados sisu,3
analise sisu,1
dados fies,1
analise fies,0
dados prouni,11
analise prouni,7
dados mec,10
analise mec,9
dados pme,3
analise pme,1
dados pronatec,7
analise pronatec,4
dados pnp,0
analise pnp,1
dados fundeb,0
analise fundeb,0
dados fnde,1
analise fnde,0
dados siope,0
analise siope,1
dados saeb,3
analise saeb,4
dados mde,0
analise mde,0
indicadores financeiros educacionais,0
